id;label;y;x;size
1;Aleksandrów Kujawski;2.902726027;18.700;2
2;Aleksandrów Łódzki;4.514506849;19.299;2
3;Andrychów;7.494780822;19.339;2
4;Augustów;1.444520548;23.000;2
5;Barlinek;2.721780822;15.199;2
6;Bartoszyce;0.82109589;20.809;2
7;Będzin;6.764917808;19.129;2
8;Bełchatów;5.200273973;19.360;2
9;Biała Podlaska;4.181506849;23.110;2
10;Białogard;1.186027397;15.979;2
11;Białystok;2.50890411;23.159;2
12;Bielawa;6.234246575;16.610;2
13;Bielsk Podlaski;3.054780822;23.290;2
14;Bielsko-Biała;7.557123288;19.049;2
15;Bieruń;7.129849315;19.100;2
16;Biłgoraj;6.462328767;22.729;2
17;Biskupiec;1.397383562;20.950;2
18;Blachownia;6.080671233;18.959;2
19;Błonie;3.938219178;20.620;2
20;Bochnia;7.313835616;20.429;2
21;Bogatynia;5.884520548;14.960;2
22;Boguszów-Gorce;6.126287671;16.189;2
23;Bolesławiec;5.367534247;15.560;2
24;Braniewo;0.60669863;19.819;2
25;Brodnica;2.326438356;19.399;2
26;Brwinów;3.968630137;20.799;2
27;Brzeg;5.990958904;17.470;2
28;Brzeg Dolny;5.350808219;16.739;2
29;Brzesko;7.329041096;20.600;2
30;Brzeszcze;7.297109589;19.149;2
31;Brzeziny;4.531232877;19.749;2
32;Bukowno;6.840945205;19.440;2
33;Busko-Zdrój;6.553561644;20.719;2
34;Bydgoszcz;2.537794521;18.010;2
35;Bystrzyca Kłodzka;6.827260274;16.639;2
36;Bytom;6.751232877;18.909;2
37;Bytów;0.927534247;17.470;2
38;Chełm;5.55;23.490;2
39;Chełmek;7.114643836;19.249;2
40;Chełmno;2.188068493;18.429;2
41;Chełmża;2.446561644;18.609;2
42;Chodzież;2.736986301;16.910;2
43;Chojnice;1.655876712;17.569;2
44;Chojnów;5.33560274;15.930;2
45;Chorzów;6.827260274;19.030;2
46;Choszczno;2.446561644;15.400;2
47;Chrzanów;7.070547945;19.399;2
48;Ciechanów;2.902726027;20.620;2
49;Ciechocinek;2.902726027;18.790;2
